wavelength,power
380nm(mW/m^2);0,0
381nm(mW/m^2);0,0
382nm(mW/m^2);0,0
383nm(mW/m^2);0,0
384nm(mW/m^2);0,0
385nm(mW/m^2);0,0
386nm(mW/m^2);0,0
387nm(mW/m^2);0,2124
388nm(mW/m^2);0,4199
389nm(mW/m^2);0,119598
390nm(mW/m^2);0,198902
391nm(mW/m^2);0,202668
392nm(mW/m^2);0,130895
393nm(mW/m^2);0,60941
394nm(mW/m^2);0,42351
395nm(mW/m^2);0,82224
396nm(mW/m^2);0,158884
397nm(mW/m^2);0,2644
398nm(mW/m^2);0,370887
399nm(mW/m^2);0,445406
400nm(mW/m^2);0,491824
401nm(mW/m^2);0,593488
402nm(mW/m^2);0,761581
403nm(mW/m^2);0,931974
404nm(mW/m^2);0,974251
405nm(mW/m^2);0,88841
406nm(mW/m^2);0,940359
407nm(mW/m^2);1,224332
408nm(mW/m^2);1,687921
409nm(mW/m^2);2,6804
410nm(mW/m^2);2,154603
411nm(mW/m^2);2,336729
412nm(mW/m^2);2,728361
413nm(mW/m^2);3,364832
414nm(mW/m^2);4,280937
415nm(mW/m^2);5,420169
416nm(mW/m^2);6,756046
417nm(mW/m^2);8,106916
418nm(mW/m^2);9,477204
419nm(mW/m^2);11,1907
420nm(mW/m^2);12,726375
421nm(mW/m^2);14,860814
422nm(mW/m^2);17,564884
423nm(mW/m^2);20,838585
424nm(mW/m^2);24,668177
425nm(mW/m^2);28,774557
426nm(mW/m^2);33,367111
427nm(mW/m^2);38,564545
428nm(mW/m^2);44,342461
429nm(mW/m^2);51,136623
430nm(mW/m^2);58,723534
431nm(mW/m^2);67,29937
432nm(mW/m^2);76,746071
433nm(mW/m^2);86,916016
434nm(mW/m^2);98,221313
435nm(mW/m^2);110,356445
436nm(mW/m^2);123,521721
437nm(mW/m^2);137,924164
438nm(mW/m^2);153,342163
439nm(mW/m^2);170,19623
440nm(mW/m^2);187,36702
441nm(mW/m^2);205,364899
442nm(mW/m^2);223,442108
443nm(mW/m^2);241,372849
444nm(mW/m^2);258,143646
445nm(mW/m^2);273,214569
446nm(mW/m^2);286,341888
447nm(mW/m^2);295,992249
448nm(mW/m^2);302,83252
449nm(mW/m^2);305,277466
450nm(mW/m^2);304,51535
451nm(mW/m^2);300,392395
452nm(mW/m^2);292,263611
453nm(mW/m^2);281,506989
454nm(mW/m^2);267,750732
455nm(mW/m^2);253,41031
456nm(mW/m^2);237,391586
457nm(mW/m^2);221,594986
458nm(mW/m^2);206,79071
459nm(mW/m^2);191,4729
460nm(mW/m^2);178,33997
461nm(mW/m^2);165,825729
462nm(mW/m^2);155,251556
463nm(mW/m^2);145,786926
464nm(mW/m^2);137,829636
465nm(mW/m^2);130,683624
466nm(mW/m^2);124,416962
467nm(mW/m^2);119,30275
468nm(mW/m^2);114,991104
469nm(mW/m^2);111,926048
470nm(mW/m^2);109,706459
471nm(mW/m^2);108,427895
472nm(mW/m^2);108,209808
473nm(mW/m^2);108,718849
474nm(mW/m^2);110,506989
475nm(mW/m^2);113,273315
476nm(mW/m^2);117,155449
477nm(mW/m^2);122,65575
478nm(mW/m^2);127,673019
479nm(mW/m^2);133,902176
480nm(mW/m^2);140,215378
481nm(mW/m^2);146,545074
482nm(mW/m^2);152,657867
483nm(mW/m^2);158,531723
484nm(mW/m^2);163,641479
485nm(mW/m^2);168,39536
486nm(mW/m^2);171,41127
487nm(mW/m^2);173,853195
488nm(mW/m^2);175,484222
489nm(mW/m^2);175,495041
490nm(mW/m^2);174,320343
491nm(mW/m^2);171,727295
492nm(mW/m^2);168,619156
493nm(mW/m^2);165,53329
494nm(mW/m^2);161,217346
495nm(mW/m^2);157,331985
496nm(mW/m^2);153,441986
497nm(mW/m^2);149,613876
498nm(mW/m^2);145,92572
499nm(mW/m^2);142,585693
500nm(mW/m^2);139,572693
501nm(mW/m^2);137,33226
502nm(mW/m^2);135,727066
503nm(mW/m^2);134,957443
504nm(mW/m^2);134,782166
505nm(mW/m^2);135,90851
506nm(mW/m^2);135,789261
507nm(mW/m^2);136,59494
508nm(mW/m^2);137,814529
509nm(mW/m^2);139,53717
510nm(mW/m^2);141,836746
511nm(mW/m^2);144,670441
512nm(mW/m^2);147,843048
513nm(mW/m^2);151,283035
514nm(mW/m^2);154,725906
515nm(mW/m^2);158,99487
516nm(mW/m^2);161,312103
517nm(mW/m^2);164,356873
518nm(mW/m^2);167,218781
519nm(mW/m^2);169,98732
520nm(mW/m^2);172,345154
521nm(mW/m^2);174,237915
522nm(mW/m^2);175,634232
523nm(mW/m^2);176,793823
524nm(mW/m^2);177,85817
525nm(mW/m^2);178,156754
526nm(mW/m^2);177,729431
527nm(mW/m^2);176,613007
528nm(mW/m^2);175,532669
529nm(mW/m^2);174,383759
530nm(mW/m^2);172,761581
531nm(mW/m^2);170,642685
532nm(mW/m^2);168,172363
533nm(mW/m^2);165,720016
534nm(mW/m^2);163,328201
535nm(mW/m^2);161,11887
