wavelength,power
387nm(mW/m^2),2.124000
388nm(mW/m^2),4.199000
389nm(mW/m^2),119.598000
390nm(mW/m^2),198.902000
391nm(mW/m^2),202.668000
392nm(mW/m^2),130.895000
393nm(mW/m^2),60.941000
394nm(mW/m^2),42.351000
395nm(mW/m^2),82.224000
396nm(mW/m^2),158.884000
397nm(mW/m^2),2.644000
398nm(mW/m^2),370.887000
399nm(mW/m^2),445.406000
400nm(mW/m^2),491.824000
401nm(mW/m^2),593.488000
402nm(mW/m^2),761.581000
403nm(mW/m^2),931.974000
404nm(mW/m^2),974.251000
405nm(mW/m^2),88.841000
406nm(mW/m^2),940.359000
407nm(mW/m^2),224.332000
408nm(mW/m^2),687.921000
409nm(mW/m^2),6.804000
410nm(mW/m^2),154.603000
411nm(mW/m^2),336.729000
412nm(mW/m^2),728.361000
413nm(mW/m^2),364.832000
414nm(mW/m^2),280.937000
415nm(mW/m^2),420.169000
416nm(mW/m^2),756.046000
417nm(mW/m^2),106.916000
418nm(mW/m^2),477.204000
419nm(mW/m^2),1.907000
420nm(mW/m^2),726.375000
421nm(mW/m^2),860.814000
422nm(mW/m^2),564.884000
423nm(mW/m^2),838.585000
424nm(mW/m^2),668.177000
425nm(mW/m^2),774.557000
426nm(mW/m^2),367.111000
427nm(mW/m^2),564.545000
428nm(mW/m^2),342.461000
429nm(mW/m^2),136.623000
430nm(mW/m^2),723.534000
431nm(mW/m^2),29.937000
432nm(mW/m^2),746.071000
433nm(mW/m^2),916.016000
434nm(mW/m^2),221.313000
435nm(mW/m^2),356.445000
436nm(mW/m^2),521.721000
437nm(mW/m^2),924.164000
438nm(mW/m^2),342.163000
439nm(mW/m^2),19.623000
440nm(mW/m^2),36.702000
441nm(mW/m^2),364.899000
442nm(mW/m^2),442.108000
443nm(mW/m^2),372.849000
444nm(mW/m^2),143.646000
445nm(mW/m^2),214.569000
446nm(mW/m^2),341.888000
447nm(mW/m^2),992.249000
448nm(mW/m^2),83.252000
449nm(mW/m^2),277.466000
450nm(mW/m^2),51.535000
451nm(mW/m^2),392.395000
452nm(mW/m^2),263.611000
453nm(mW/m^2),506.989000
454nm(mW/m^2),750.732000
455nm(mW/m^2),41.031000
456nm(mW/m^2),391.586000
457nm(mW/m^2),594.986000
458nm(mW/m^2),79.071000
459nm(mW/m^2),4.729000
460nm(mW/m^2),33.997000
461nm(mW/m^2),825.729000
462nm(mW/m^2),251.556000
463nm(mW/m^2),786.926000
464nm(mW/m^2),829.636000
465nm(mW/m^2),683.624000
466nm(mW/m^2),416.962000
467nm(mW/m^2),30.275000
468nm(mW/m^2),991.104000
469nm(mW/m^2),926.048000
470nm(mW/m^2),706.459000
471nm(mW/m^2),427.895000
472nm(mW/m^2),209.808000
473nm(mW/m^2),718.849000
474nm(mW/m^2),506.989000
475nm(mW/m^2),273.315000
476nm(mW/m^2),155.449000
477nm(mW/m^2),65.575000
478nm(mW/m^2),673.019000
479nm(mW/m^2),902.176000
480nm(mW/m^2),215.378000
481nm(mW/m^2),545.074000
482nm(mW/m^2),657.867000
483nm(mW/m^2),531.723000
484nm(mW/m^2),641.479000
485nm(mW/m^2),39.536000
486nm(mW/m^2),41.127000
487nm(mW/m^2),853.195000
488nm(mW/m^2),484.222000
489nm(mW/m^2),495.041000
490nm(mW/m^2),320.343000
491nm(mW/m^2),727.295000
492nm(mW/m^2),619.156000
493nm(mW/m^2),53.329000
494nm(mW/m^2),217.346000
495nm(mW/m^2),331.985000
496nm(mW/m^2),441.986000
497nm(mW/m^2),613.876000
498nm(mW/m^2),92.572000
499nm(mW/m^2),585.693000
500nm(mW/m^2),572.693000
501nm(mW/m^2),33.226000
502nm(mW/m^2),727.066000
503nm(mW/m^2),957.443000
504nm(mW/m^2),782.166000
505nm(mW/m^2),90.851000
506nm(mW/m^2),789.261000
507nm(mW/m^2),59.494000
508nm(mW/m^2),814.529000
509nm(mW/m^2),53.717000
510nm(mW/m^2),836.746000
511nm(mW/m^2),670.441000
512nm(mW/m^2),843.048000
513nm(mW/m^2),283.035000
514nm(mW/m^2),725.906000
515nm(mW/m^2),99.487000
516nm(mW/m^2),312.103000
517nm(mW/m^2),356.873000
518nm(mW/m^2),218.781000
519nm(mW/m^2),98.732000
520nm(mW/m^2),345.154000
521nm(mW/m^2),237.915000
522nm(mW/m^2),634.232000
523nm(mW/m^2),793.823000
524nm(mW/m^2),85.817000
525nm(mW/m^2),156.754000
526nm(mW/m^2),729.431000
527nm(mW/m^2),613.007000
528nm(mW/m^2),532.669000
529nm(mW/m^2),383.759000
530nm(mW/m^2),761.581000
531nm(mW/m^2),642.685000
532nm(mW/m^2),172.363000
533nm(mW/m^2),720.016000
534nm(mW/m^2),328.201000
535nm(mW/m^2),11.887000
536nm(mW/m^2),787.476000
537nm(mW/m^2),669.617000
538nm(mW/m^2),626.801000
539nm(mW/m^2),479.965000
540nm(mW/m^2),156.113000
541nm(mW/m^2),903.473000
542nm(mW/m^2),58.197000
543nm(mW/m^2),578.766000
544nm(mW/m^2),60.501000
545nm(mW/m^2),328.323000
546nm(mW/m^2),483.688000
547nm(mW/m^2),685.104000
548nm(mW/m^2),135.696000
549nm(mW/m^2),903.015000
550nm(mW/m^2),942.657000
551nm(mW/m^2),969.421000
552nm(mW/m^2),882.172000
553nm(mW/m^2),964.081000
554nm(mW/m^2),297.226000
555nm(mW/m^2),950.836000
556nm(mW/m^2),710.938000
557nm(mW/m^2),619.934000
558nm(mW/m^2),64.801000
559nm(mW/m^2),749.313000
560nm(mW/m^2),793.655000
561nm(mW/m^2),731.186000
562nm(mW/m^2),768.097000
563nm(mW/m^2),12.833000
564nm(mW/m^2),370.911000
565nm(mW/m^2),599.579000
566nm(mW/m^2),699.966000
567nm(mW/m^2),804.382000
568nm(mW/m^2),978.363000
569nm(mW/m^2),284.775000
570nm(mW/m^2),685.883000
571nm(mW/m^2),999.924000
